Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
11,11,gobi manchurian,292,9.7,2.6,3.8,2.1,33.6,3.8,17.8,6.0,38.9,468.6,76.4,10.82,0.18,1.12,0.05,0.5,4.65,0.68,0.51,16.2,0.0,1.04,238.24,56.3,0.2,2.95,70.1,0.27,234.4,238.2,16.2,1.9,117.1
12,12,matar paneer,289,14.6,4.6,3.5,2.0,32.3,3.9,16.5,3.7,63.6,452.4,73.6,9.06,0.22,1.17,1.58,0.47,3.45,0.59,0.49,9.24,0.0,1.57,212.91,122.3,0.13,2.44,45.0,0.21,184.8,212.9,21.4,1.95,96.8
13,13,shahi paneer,296,15.2,4.4,3.5,1.9,31.0,4.0,16.2,4.1,59.7,446.4,73.0,7.92,0.2,1.31,1.57,0.53,3.52,0.49,0.51,11.72,0.0,1.32,223.67,145.7,0.15,2.42,42.6,0.2,191.7,223.7,20.5,1.6,99.5
14,14,kadai paneer,277,15.3,4.3,3.6,2.0,30.9,4.1,14.9,4.1,62.3,425.2,74.1,8.77,0.18,1.34,1.52,0.45,3.18,0.48,0.52,10.87,0.0,1.59,224.74,155.1,0.15,2.98,55.1,0.26,213.0,224.7,19.2,1.77,98.9
15,15,paneer tikka,359,22.8,7.0,5.8,2.4,8.2,2.1,35.1,1.0,116.2,470.4,58.1,3.41,0.1,0.82,2.23,0.97,6.52,0.94,1.03,4.68,0.0,1.54,224.84,173.1,0.09,1.85,46.6,0.16,344.6,224.8,37.8,3.41,110.3
16,16,paneer do pyaza,275,14.0,4.4,3.6,2.1,34.0,4.0,16.6,4.0,60.9,432.4,74.4,7.85,0.21,0.91,1.58,0.47,4.19,0.55,0.46,10.68,0.0,1.14,222.12,107.9,0.13,2.67,39.2,0.25,184.6,222.1,15.0,1.79,99.5
17,17,paneer bhurji,269,14.6,4.7,3.4,2.1,33.5,3.9,15.1,3.7,60.3,481.5,74.8,7.84,0.22,1.22,1.53,0.48,3.99,0.6,0.43,7.76,0.0,1.19,226.6,138.9,0.14,2.27,49.4,0.26,179.8,226.6,18.7,1.55,93.0
18,18,malai kofta,293,16.0,4.3,3.3,1.9,32.8,4.3,15.8,4.1,56.4,462.0,72.8,9.46,0.19,1.25,0.05,0.52,3.95,0.48,0.57,12.63,0.0,1.37,267.31,48.9,0.14,2.51,55.0,0.28,182.1,267.3,18.6,1.98,104.6
19,19,korma,319,12.9,4.1,4.3,2.4,31.3,5.0,15.0,6.9,31.0,541.8,74.4,15.73,0.23,1.13,0.05,0.51,3.41,0.52,0.49,16.22,0.0,1.03,250.2,43.6,0.16,3.92,57.7,0.39,207.4,250.2,13.6,1.98,123.1
20,20,navratan korma,292,13.4,4.0,4.1,2.6,30.6,5.0,15.6,6.6,28.8,575.0,74.6,12.2,0.21,1.31,0.05,0.47,3.73,0.58,0.47,18.2,0.0,1.18,239.42,43.5,0.16,3.1,61.4,0.37,181.6,239.4,17.4,1.91,118.9
21,21,vegetable korma,331,13.0,3.9,4.2,2.4,28.9,4.8,14.9,9.0,29.1,597.2,73.9,17.74,0.21,1.3,0.05,0.5,3.67,0.58,0.48,31.41,0.0,1.25,328.78,40.9,0.25,4.31,81.4,0.4,170.6,328.8,13.9,1.56,151.4
22,22,dal tadka,313,12.6,4.3,3.8,2.6,30.4,5.2,14.4,7.0,29.8,555.5,75.0,15.95,0.23,1.26,0.05,0.46,3.71,0.55,0.52,14.9,0.0,1.11,252.26,42.1,0.16,3.16,49.4,0.34,197.2,252.3,14.8,1.82,119.8
23,23,dal fry,319,12.9,4.1,4.2,2.6,30.5,5.1,15.9,6.9,30.2,571.6,74.0,16.03,0.22,1.12,0.05,0.43,3.64,0.59,0.51,15.42,0.0,1.08,268.98,56.0,0.22,3.62,62.2,0.28,173.5,269.0,16.5,1.68,125.0
24,24,dal palak,292,13.8,4.2,4.5,2.7,32.1,5.1,15.5,8.4,31.1,557.7,74.4,17.3,0.23,1.29,0.05,0.48,3.94,0.54,0.43,18.97,0.0,1.24,308.6,58.3,0.19,4.37,63.6,0.47,219.5,308.6,17.1,1.68,138.4
25,25,dal dhokli,302,13.9,3.9,4.0,2.7,30.7,5.0,14.8,6.7,29.4,580.1,74.3,14.05,0.22,1.18,0.05,0.46,4.14,0.51,0.5,13.56,0.0,1.58,314.74,44.5,0.16,3.57,61.6,0.28,225.7,314.7,16.6,1.54,122.8
26,26,toor dal,324,13.0,4.1,4.0,2.4,31.4,5.3,14.5,7.1,29.5,593.1,74.3,14.03,0.23,1.56,0.05,0.41,3.92,0.5,0.52,17.58,0.0,1.44,258.74,45.0,0.19,4.17,61.6,0.3,195.0,258.7,16.9,1.73,123.7
27,27,moong dal,308,12.7,3.8,4.1,2.5,28.9,5.2,14.0,7.2,30.9,584.4,75.2,13.66,0.21,1.56,0.05,0.49,3.52,0.43,0.45,18.74,0.0,1.45,239.91,46.9,0.19,3.64,68.0,0.34,198.4,239.9,16.0,1.92,121.4
28,28,masoor dal,303,13.4,4.1,4.2,2.6,31.5,4.9,14.6,7.2,31.1,589.2,74.7,11.62,0.18,1.45,0.05,0.5,4.17,0.55,0.46,14.28,0.0,1.37,265.12,48.1,0.2,4.14,51.4,0.39,182.3,265.1,14.3,1.74,120.4
29,29,chana dal,313,13.5,3.8,3.8,2.6,30.5,4.8,15.9,6.7,29.8,540.7,73.8,12.0,0.17,1.49,0.05,0.53,4.06,0.49,0.49,15.35,0.0,1.36,242.91,50.2,0.16,3.89,53.6,0.32,201.2,242.9,18.2,1.85,119.3
30,30,urad dal,331,12.6,4.3,4.1,2.4,30.3,5.1,15.5,6.6,30.4,559.7,73.9,15.27,0.19,1.48,0.05,0.48,3.62,0.56,0.51,17.89,0.0,1.37,277.64,57.9,0.19,3.9,63.7,0.3,194.8,277.6,19.0,1.57,125.8
31,31,panchmel dal,301,13.5,3.8,3.8,2.5,32.0,5.0,15.9,7.3,29.0,585.5,74.2,14.35,0.23,1.52,0.05,0.45,3.41,0.62,0.44,22.34,0.0,1.5,287.71,61.7,0.23,4.1,60.9,0.4,172.6,287.7,17.4,1.9,133.2
32,32,dal baati,317,13.2,4.2,4.2,2.4,28.9,4.7,15.8,7.1,31.7,538.2,73.9,11.56,0.21,1.59,0.05,0.45,3.74,0.49,0.56,15.82,0.0,1.29,269.68,59.6,0.16,3.62,67.2,0.38,228.1,269.7,19.4,1.62,122.1
33,33,dal bafla,306,12.3,4.0,3.9,2.7,28.0,4.9,14.9,7.4,31.5,528.6,75.2,15.74,0.19,1.66,0.05,0.43,3.57,0.47,0.42,21.57,0.0,1.21,291.04,52.6,0.2,3.23,71.5,0.32,172.1,291.0,14.0,1.88,130.6
34,34,khichdi,374,11.5,3.2,4.4,2.4,56.0,2.8,14.7,2.9,52.2,598.4,73.6,5.95,0.32,0.83,0.05,0.38,3.96,0.48,0.44,6.92,0.0,0.98,201.03,49.9,0.13,2.15,45.6,0.2,168.8,201.0,19.7,1.49,84.7
35,35,moong khichdi,405,12.6,3.0,4.5,2.7,49.7,3.0,13.8,3.1,54.9,655.6,72.1,6.0,0.24,1.09,0.05,0.37,3.25,0.51,0.45,8.01,0.0,1.51,224.86,46.7,0.13,1.96,44.8,0.24,196.6,224.9,17.5,1.52,86.3
36,36,vegetable khichdi,387,11.5,2.9,5.0,2.5,50.0,3.0,15.3,4.9,52.3,656.7,72.9,8.56,0.31,1.0,0.05,0.41,4.03,0.58,0.49,23.79,0.0,1.22,283.91,43.0,0.14,3.05,57.0,0.31,208.1,283.9,18.0,1.7,117.5
37,37,sabudana khichdi,394,11.5,3.1,4.3,2.4,55.6,2.9,14.5,3.0,57.4,650.0,73.0,8.51,0.33,1.09,0.05,0.46,3.1,0.58,0.51,7.66,0.0,1.04,174.43,45.3,0.12,1.89,47.9,0.21,184.5,174.4,17.5,1.47,84.9
38,38,lemon rice,403,11.5,3.0,4.4,2.5,54.6,3.1,14.1,2.8,51.6,590.3,72.8,7.12,0.31,0.93,0.05,0.45,3.53,0.49,0.42,20.54,0.0,1.01,207.04,44.1,0.13,2.13,43.1,0.16,181.9,207.0,13.1,1.59,95.9
39,39,curd rice,374,11.4,2.9,4.4,2.3,54.8,2.9,13.8,3.1,55.0,648.9,74.0,8.13,0.26,1.2,0.05,0.37,2.98,0.56,0.49,9.12,0.0,1.22,230.04,123.3,0.11,1.9,38.5,0.23,191.9,230.0,18.7,1.46,89.2
40,40,tamarind rice,409,11.6,3.0,4.5,2.5,51.6,2.9,13.7,2.9,55.1,586.5,72.8,6.89,0.32,0.97,0.05,0.45,3.79,0.54,0.41,6.83,0.0,1.05,219.51,52.3,0.13,1.94,44.6,0.2,199.3,219.5,15.6,1.87,84.6
41,41,coconut rice,394,17.3,5.1,4.7,2.5,50.4,2.8,13.9,2.9,72.6,581.5,69.2,6.98,0.27,1.01,0.05,0.37,3.85,0.43,0.5,9.91,0.0,1.61,212.45,47.1,0.13,2.36,47.1,0.2,216.4,212.4,15.0,1.66,88.2
42,42,tomato rice,371,11.3,2.8,4.8,2.4,54.6,3.0,13.4,2.9,54.5,614.7,74.4,6.98,0.27,0.98,0.05,0.39,3.31,0.46,0.45,21.02,0.0,1.25,228.49,39.1,0.13,2.01,43.8,0.21,204.9,228.5,14.6,1.68,96.5
43,43,jeera rice,370,11.7,3.2,4.6,2.5,53.7,3.2,13.6,2.9,57.2,647.2,74.0,7.49,0.32,1.13,0.05,0.44,3.48,0.51,0.43,7.9,0.0,1.14,227.92,41.9,0.15,2.16,36.2,0.17,161.8,227.9,13.4,1.79,87.4
44,44,peas pulao,408,12.6,2.8,4.4,2.6,50.3,2.9,13.3,3.1,57.1,646.8,72.2,6.36,0.28,1.01,0.05,0.44,3.13,0.48,0.41,10.01,0.0,1.23,242.55,43.1,0.14,2.21,46.9,0.2,210.2,242.6,15.4,1.53,89.7
45,45,kashmiri pulao,384,12.0,3.2,4.7,2.6,50.3,2.9,14.3,3.2,55.4,585.5,73.1,8.39,0.31,0.96,0.05,0.47,3.33,0.57,0.41,8.67,0.0,1.44,246.01,47.6,0.12,1.94,34.7,0.21,174.7,246.0,15.6,1.46,91.5
46,46,matar pulao,414,12.6,3.1,4.7,2.4,51.4,3.1,14.4,2.8,56.6,615.5,71.7,5.49,0.25,0.93,0.05,0.48,3.64,0.54,0.46,6.66,0.0,1.15,207.78,39.9,0.12,2.35,40.0,0.17,214.7,207.8,13.3,1.71,84.6
47,47,tahari,270,9.5,2.5,3.6,1.9,31.6,4.1,15.1,4.3,37.6,451.6,78.3,9.28,0.24,1.17,0.05,0.44,3.68,0.55,0.55,9.98,0.0,0.86,185.57,47.0,0.16,2.77,53.6,0.27,179.9,185.6,17.4,1.92,95.7
48,48,tehri,267,10.4,2.5,3.6,2.0,33.4,3.8,16.6,4.0,38.8,421.3,77.2,7.71,0.18,1.31,0.05,0.5,4.58,0.57,0.48,12.11,0.0,0.98,246.69,59.2,0.16,2.48,40.9,0.23,223.9,246.7,21.2,1.8,101.9
49,49,hyderabadi biryani,416,12.0,3.0,4.8,2.5,55.2,3.1,13.2,3.0,57.5,623.9,72.5,6.66,0.26,1.11,0.05,0.39,3.48,0.47,0.45,8.05,0.0,1.0,212.19,43.6,0.15,2.05,48.6,0.24,159.7,212.2,14.7,1.77,84.9
50,50,lucknowi biryani,400,12.8,2.8,4.6,2.6,49.5,2.8,14.5,2.9,54.1,625.8,71.9,7.3,0.29,1.22,0.05,0.43,3.9,0.53,0.47,8.04,0.0,1.34,182.7,41.5,0.14,2.19,39.5,0.21,179.0,182.7,16.3,1.97,85.4
51,51,kolkata biryani,378,12.7,3.0,4.3,2.6,52.6,3.2,13.9,2.8,56.4,650.0,72.9,6.31,0.28,0.85,0.05,0.43,3.91,0.55,0.48,9.98,0.0,1.33,202.96,48.0,0.1,1.95,34.4,0.22,161.9,203.0,15.3,1.82,85.6
52,52,ambur biryani,393,12.2,2.8,4.4,2.7,54.6,3.0,14.5,3.1,51.7,661.0,72.6,7.75,0.29,1.13,0.05,0.42,4.02,0.56,0.48,7.48,0.0,1.46,222.71,57.1,0.1,2.01,36.4,0.18,181.4,222.7,15.6,1.94,88.7
53,53,malabar biryani,412,12.6,2.9,4.6,2.5,50.2,2.9,14.1,3.0,52.4,658.3,71.8,6.12,0.29,1.13,0.05,0.45,3.89,0.51,0.5,6.57,0.0,1.03,212.43,49.6,0.13,2.38,39.9,0.22,189.4,212.4,14.9,1.92,85.5
54,54,thalaserry biryani,389,12.5,3.1,4.4,2.4,49.7,3.0,14.0,2.9,55.8,603.7,72.7,7.49,0.3,1.18,0.05,0.49,3.13,0.48,0.46,7.57,0.0,1.23,228.88,43.1,0.1,2.02,38.7,0.21,174.6,228.9,14.0,1.59,87.2
55,55,egg biryani,394,11.7,3.1,4.5,2.5,53.0,2.9,20.5,3.2,90.1,660.5,70.5,6.57,0.28,0.87,1.72,0.59,5.23,0.69,0.61,9.18,3.42,1.17,223.08,66.6,0.14,2.33,45.5,0.22,205.8,223.1,17.8,2.14,100.3
56,56,mutton biryani,404,11.6,3.2,4.6,2.4,56.5,3.0,22.9,2.9,95.5,642.1,69.2,6.14,0.31,1.03,1.8,0.56,4.57,0.69,0.67,8.27,0.0,1.25,204.29,61.3,0.13,2.16,57.4,0.22,226.2,204.3,26.4,2.33,100.5
57,57,fish biryani,401,11.7,3.1,4.4,2.6,56.6,3.0,22.9,3.1,92.4,578.9,69.3,7.19,0.35,1.17,1.8,0.71,5.24,0.77,0.69,7.36,2.59,1.26,205.02,56.6,0.14,2.11,57.6,0.18,206.1,205.0,20.1,2.44,101.1
58,58,prawn biryani,385,12.5,3.2,4.7,2.6,49.8,2.8,21.1,2.9,92.0,622.2,70.0,6.46,0.25,1.2,1.74,0.58,4.59,0.73,0.67,9.04,0.0,1.34,196.74,54.5,0.11,2.39,41.4,0.24,217.5,196.7,19.3,2.31,98.2
59,59,chicken pulao,380,11.7,3.2,4.7,2.4,50.2,3.1,21.6,3.2,94.0,659.5,70.5,8.35,0.26,0.97,1.76,0.66,4.67,0.68,0.59,8.95,0.0,1.06,235.89,74.2,0.14,2.19,50.5,0.22,215.2,235.9,22.6,2.31,104.2
60,60,mutton pulao,366,11.9,3.1,4.2,2.6,49.3,3.0,23.3,3.0,95.5,652.8,70.2,6.97,0.25,1.23,1.82,0.63,5.43,0.82,0.6,8.83,0.0,1.23,263.68,78.3,0.14,2.18,55.9,0.18,274.3,263.7,22.7,2.33,107.2
61,61,chicken curry,329,13.8,4.2,4.2,2.3,30.3,4.7,24.6,6.8,69.5,563.4,69.5,13.51,0.23,1.53,1.86,0.69,4.92,0.68,0.64,16.59,0.0,1.2,337.58,75.7,0.2,3.87,75.6,0.29,282.3,337.6,27.9,2.43,144.3
62,62,mutton curry,292,13.3,3.8,3.8,2.4,28.9,4.8,22.1,7.2,69.1,544.5,72.1,15.6,0.17,1.46,1.78,0.67,4.33,0.62,0.62,17.1,0.0,1.3,261.66,69.5,0.17,3.44,80.4,0.32,247.7,261.7,19.4,2.02,136.7
63,63,rogan josh,290,10.1,2.5,3.5,2.0,32.2,4.1,15.4,3.9,41.4,473.5,77.1,7.13,0.21,1.2,0.05,0.41,3.84,0.46,0.49,10.52,0.0,1.14,221.11,47.3,0.14,2.24,41.1,0.24,168.9,221.1,19.4,1.75,95.0
64,64,laal maas,281,9.9,2.3,3.5,2.1,33.0,3.9,16.7,4.1,40.4,421.4,77.0,8.47,0.18,1.35,0.05,0.56,3.49,0.64,0.44,10.6,0.0,1.21,264.98,63.6,0.15,2.6,58.7,0.23,222.3,265.0,17.5,1.97,103.8
65,65,nihari,286,10.1,2.6,3.4,1.9,32.2,4.0,16.5,3.8,37.2,419.9,76.8,7.85,0.22,1.13,0.05,0.5,4.36,0.52,0.49,9.29,0.0,1.3,196.1,44.8,0.15,2.5,52.5,0.27,170.2,196.1,15.3,1.6,95.2
66,66,haleem,284,10.3,2.3,3.6,2.0,30.8,3.8,16.8,3.8,40.0,436.7,76.6,9.44,0.22,1.02,0.05,0.52,4.24,0.54,0.49,8.42,0.0,1.19,214.72,49.3,0.11,2.87,54.4,0.27,209.1,214.7,18.4,2.14,98.4
67,67,butter chicken,297,15.4,4.7,3.4,2.0,30.4,3.9,24.9,4.0,99.6,437.4,69.4,9.5,0.22,1.3,1.87,0.71,6.24,0.78,0.64,9.38,0.0,1.25,258.22,81.5,0.16,2.47,59.7,0.21,241.8,258.2,25.9,2.71,116.1
68,68,chicken korma,296,13.5,4.1,4.0,2.5,31.6,4.9,24.5,6.5,69.0,596.2,70.9,11.09,0.24,1.31,1.86,0.64,5.57,0.69,0.8,16.78,0.0,1.45,341.53,69.9,0.17,3.43,67.5,0.33,223.2,341.5,24.3,2.66,140.6
69,69,chicken chettinad,296,9.8,2.5,3.5,1.9,30.4,3.9,25.5,4.0,74.1,428.1,73.1,8.27,0.19,1.27,1.89,0.72,5.84,0.83,0.68,12.65,0.0,1.29,284.36,70.7,0.12,3.1,48.2,0.26,251.5,284.4,25.8,2.59,122.7
70,70,chicken saag,263,9.3,2.6,4.2,2.0,33.2,4.0,26.2,5.8,77.2,419.1,74.2,19.86,0.2,1.32,1.92,0.77,5.92,0.8,0.75,11.08,0.0,1.08,310.18,73.2,0.15,3.97,52.3,0.34,269.2,310.2,30.2,2.24,142.2
71,71,chicken do pyaza,264,9.5,2.4,3.5,2.1,31.0,3.9,23.6,3.9,75.7,480.9,75.1,7.76,0.22,1.27,1.83,0.7,5.81,0.8,0.61,10.04,0.0,1.09,272.31,54.0,0.12,2.77,52.2,0.27,245.2,272.3,20.0,2.37,114.8
72,72,chicken vindaloo,290,12.5,4.2,4.2,2.5,28.1,4.7,24.4,7.4,65.6,523.4,71.8,17.06,0.18,1.65,1.85,0.71,5.79,0.81,0.69,14.4,0.0,1.08,360.75,77.9,0.18,4.47,66.6,0.4,224.0,360.8,26.7,2.41,150.5
73,73,chicken xacuti,299,9.4,2.5,3.7,2.0,33.2,4.3,23.7,4.2,70.1,435.7,74.0,10.85,0.21,1.07,1.83,0.76,5.15,0.78,0.72,8.83,0.0,1.11,224.31,73.0,0.12,2.55,59.3,0.26,258.0,224.3,20.2,2.01,112.8
74,74,mutton korma,302,12.7,3.9,3.8,2.4,29.8,5.0,22.7,6.5,63.7,528.1,71.9,13.62,0.19,1.26,1.79,0.61,4.92,0.63,0.75,19.7,0.0,1.51,275.66,56.8,0.17,3.26,60.6,0.33,210.0,275.7,22.4,2.28,136.3
75,75,mutton masala,292,12.5,3.9,4.1,2.5,28.7,4.7,22.4,7.4,63.5,569.4,72.5,16.43,0.18,1.3,1.78,0.7,5.57,0.81,0.59,16.72,0.0,1.48,307.72,59.9,0.23,4.52,64.2,0.39,238.7,307.7,20.5,2.18,144.5
76,76,keema matar,292,9.9,2.4,3.5,2.0,32.2,4.1,16.1,4.3,39.8,463.1,76.9,9.0,0.2,1.23,0.05,0.53,4.25,0.54,0.5,12.12,0.0,0.98,229.4,56.7,0.16,2.35,58.8,0.25,190.5,229.4,20.9,1.93,101.4
77,77,keema pav,282,10.4,2.5,3.7,2.0,32.6,3.8,16.6,4.1,39.2,459.3,76.7,7.32,0.24,1.21,0.05,0.48,4.29,0.64,0.5,8.3,0.0,1.02,234.83,53.6,0.15,2.71,47.7,0.23,216.8,234.8,18.3,1.78,98.6
78,78,fish curry,289,12.3,4.0,4.3,2.4,31.9,4.7,22.4,7.0,62.3,558.7,72.8,13.69,0.2,1.46,1.78,0.61,4.73,0.78,0.58,20.32,2.66,1.32,258.9,77.3,0.17,3.42,58.5,0.35,271.8,258.9,22.0,2.05,136.9
79,79,goan fish curry,316,12.9,3.7,4.1,2.4,30.4,4.9,23.7,6.7,67.3,584.2,71.0,11.06,0.18,1.54,1.83,0.61,4.98,0.73,0.64,19.81,2.21,1.34,311.87,70.3,0.19,3.57,76.8,0.35,271.0,311.9,22.0,2.44,140.3
80,80,malvani fish curry,292,12.3,3.8,3.9,2.4,30.8,5.0,22.7,6.6,63.9,535.4,72.5,14.02,0.22,1.41,1.8,0.75,5.18,0.72,0.6,15.08,1.91,1.02,306.15,52.6,0.15,4.04,78.7,0.33,240.7,306.1,22.4,2.53,137.8
81,81,kerala fish curry,310,12.2,3.7,4.1,2.4,29.1,5.0,21.9,7.0,67.2,580.8,72.3,14.1,0.17,1.15,1.77,0.68,5.43,0.67,0.71,13.34,2.93,1.26,271.6,53.7,0.21,4.07,61.9,0.41,232.5,271.6,25.4,2.19,133.5
82,82,meen moilee,417,13.5,3.4,5.2,2.5,47.0,4.1,18.3,2.9,47.5,690.4,69.3,6.06,0.23,0.97,0.05,0.5,4.35,0.58,0.59,7.42,0.0,1.19,249.15,67.7,0.13,1.98,52.1,0.22,244.3,249.1,22.6,1.76,94.9
83,83,fish amritsari,294,9.6,2.6,3.7,2.1,32.8,4.0,24.3,3.9,74.1,447.0,73.7,9.04,0.24,0.93,1.85,0.69,5.01,0.86,0.68,12.88,1.44,0.86,241.47,74.9,0.15,2.73,57.3,0.22,212.8,241.5,21.7,2.35,116.5
84,84,prawn masala,297,12.6,4.2,3.9,2.5,30.3,5.0,22.5,7.2,60.9,528.6,72.3,15.82,0.2,1.17,1.79,0.71,4.96,0.61,0.75,15.15,0.0,1.35,279.13,68.9,0.16,4.38,62.7,0.37,222.2,279.1,26.7,2.05,139.4
85,85,prawn curry,306,12.6,4.1,3.9,2.6,30.9,4.7,22.9,6.6,62.5,574.1,71.8,10.68,0.22,1.5,1.8,0.75,5.01,0.64,0.59,15.64,0.0,1.37,341.64,60.9,0.21,3.29,73.8,0.37,216.1,341.6,20.0,2.33,136.8
86,86,egg curry,289,13.3,4.0,4.1,2.5,28.5,4.9,23.6,7.4,61.2,528.7,71.6,15.96,0.2,1.32,1.83,0.76,4.96,0.66,0.64,14.4,2.3,1.35,300.69,74.7,0.2,4.38,75.1,0.33,249.5,300.7,26.2,2.21,143.1
87,87,anda bhurji,263,10.6,2.7,3.5,1.9,32.0,4.1,16.1,4.3,42.7,477.3,77.4,7.89,0.23,1.17,0.05,0.46,4.1,0.6,0.57,12.93,0.0,0.91,229.04,47.2,0.12,2.34,54.9,0.25,205.1,229.0,17.2,1.93,101.1
88,88,anda masala,292,13.1,4.1,3.9,2.4,30.0,4.8,15.6,7.0,29.5,570.5,74.9,15.83,0.21,1.13,0.05,0.5,4.08,0.6,0.43,13.86,0.0,1.25,300.34,53.5,0.17,3.92,68.7,0.29,212.5,300.3,15.2,2.04,126.8
89,89,chole bhature,311,13.5,4.1,3.8,2.4,31.2,4.8,15.8,7.3,28.0,584.1,73.8,13.04,0.18,1.5,0.05,0.49,3.36,0.54,0.47,17.98,0.0,1.35,230.9,46.6,0.16,3.82,69.7,0.32,202.4,230.9,20.2,1.67,123.2
90,90,puri bhaji,279,9.8,2.4,3.7,2.1,32.2,4.2,16.5,4.0,39.0,444.7,77.2,9.49,0.19,0.93,0.05,0.47,3.98,0.63,0.46,12.33,0.0,1.3,180.13,43.9,0.14,2.43,54.6,0.22,202.1,180.1,16.0,1.89,97.9
91,91,pav bhaji,272,10.2,2.5,3.5,2.0,33.2,3.8,16.9,4.1,38.6,418.9,77.0,8.72,0.2,1.06,0.05,0.55,4.5,0.65,0.44,12.0,0.0,1.27,247.76,45.3,0.14,2.46,49.1,0.2,231.8,247.8,15.5,2.12,103.8
92,92,misal pav,296,10.0,2.6,3.4,2.1,30.1,3.8,15.2,4.2,37.6,454.3,77.1,8.87,0.23,1.01,0.05,0.43,3.53,0.58,0.51,12.51,0.0,1.02,222.52,41.8,0.13,2.86,49.7,0.21,171.9,222.5,16.5,1.78,100.5
